cod_municipio,UF,municipio,populacao,faixa_populacao,regiao,atendimento_website,atendimento_whatsapp,atendimento_telefone,nao_disponibiliza_atendimento_distancia,tipo_conexao_internet,tem_estrutura_t,ti_funcionarios_efetivos,ti_terceirizados,tem_cpd,software_interno,software_sociedade,nao_desenvolveu_software,A página da prefeitura na internet está,servico_ouvidoria_online,servico_consulta_processos,servico_nota_fiscal_eletronica,servico_agendamento_saude,site_mobile,tem_inclusao_digital,curso_informatica_populacao,tem_wifi_publico,consulta_publica_online,tem_portal_transparencia,tem_portal_dados_abertos,acessibilidade_sem_mouse,acessibilidade_libras
2308005,CE,Massapê,39633,4 - 20001 até 50000,2 - Nordeste,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Não,Não,Sim,Não,Sim,Não
2308104,CE,Mauriti,47406,4 - 20001 até 50000,2 - Nordeste,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Sim,Sim,Sim,Sim,Não,Ativa,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não
2308203,CE,Meruoca,15749,3 - 10001 até 20000,2 - Nordeste,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Não,-,Sim,Não,Sim,Sim,Não,Não
2308302,CE,Milagres,26860,4 - 20001 até 50000,2 - Nordeste,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Sim,Não,Não,Ativa,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim
2308351,CE,Milhã,14635,3 - 10001 até 20000,2 - Nordeste,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Sim,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Não,Não,Sim,Não,Sim,Não
2308377,CE,Miraíma,14736,3 - 10001 até 20000,2 - Nordeste,Não,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
2308401,CE,Missão Velha,38767,4 - 20001 até 50000,2 - Nordeste,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Sim,-,-
2308500,CE,Mombaça,38649,4 - 20001 até 50000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Não,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,-,-
2308609,CE,Monsenhor Tabosa,17664,3 - 10001 até 20000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Não,-,Sim,Não,Sim,Não,Não,Sim
2308708,CE,Morada Nova,65323,5 - 50001 até 100000,2 - Nordeste,Sim,Não,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Não,Não,Sim,Não,Não,Não
2308807,CE,Moraújo,8516,2 - 5001 até 10000,2 - Nordeste,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Não
2308906,CE,Morrinhos,23608,4 - 20001 até 50000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Não,Não,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Sim
2309003,CE,Mucambo,14009,3 - 10001 até 20000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não
2309102,CE,Mulungu,10993,3 - 10001 até 20000,2 - Nordeste,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Sim,Não,Não,Não,Não,-,Não,Não,Sim,Não,Não,Não
2309201,CE,Nova Olinda,15960,3 - 10001 até 20000,2 - Nordeste,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não
2309300,CE,Nova Russas,32014,4 - 20001 até 50000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim
2309409,CE,Novo Oriente,29043,4 - 20001 até 50000,2 - Nordeste,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não
2309458,CE,Ocara,25218,4 - 20001 até 50000,2 - Nordeste,Sim,Não,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Não,-,Não,Não,Sim,Não,Não,Sim
2309508,CE,Orós,20019,4 - 20001 até 50000,2 - Nordeste,Sim,Não,Sim,Não,Via rádio,Sim,Não,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Sim
2309607,CE,Pacajus,74825,5 - 50001 até 100000,2 - Nordeste,Não,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Não,-,Não,Não,Sim,Não,Não,Não
2309706,CE,Pacatuba,85873,5 - 50001 até 100000,2 - Nordeste,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Sim
2309805,CE,Pacoti,11442,3 - 10001 até 20000,2 - Nordeste,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Não,Não,Não,Não,Não,Não,-,Sim,Não,Sim,Não,-,-
2309904,CE,Pacujá,6345,2 - 5001 até 10000,2 - Nordeste,Sim,Não,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,-,-
2310001,CE,Palhano,9671,2 - 5001 até 10000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Sim,Não,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Sim,Não,-,Sim,Não,Sim,Não,-,-
2310100,CE,Palmácia,10339,3 - 10001 até 20000,2 - Nordeste,Sim,Não,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Sim,Não,Sim,Sim,Sim,Sim
2310209,CE,Paracuru,41447,4 - 20001 até 50000,2 - Nordeste,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
2310258,CE,Paraipaba,33896,4 - 20001 até 50000,2 - Nordeste,Sim,Não,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Não,Não,Sim,Ativa,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Não
2310308,CE,Parambu,32816,4 - 20001 até 50000,2 - Nordeste,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Sim,Não,Não,Ativa,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não
2310407,CE,Paramoti,10528,3 - 10001 até 20000,2 - Nordeste,Não,Sim,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Sim,Não,Sim,Não,Sim,Não
2310506,CE,Pedra Branca,42257,4 - 20001 até 50000,2 - Nordeste,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não
2310605,CE,Penaforte,9308,2 - 5001 até 10000,2 - Nordeste,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não
2310704,CE,Pentecoste,39715,4 - 20001 até 50000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim
2310803,CE,Pereiro,15869,3 - 10001 até 20000,2 - Nordeste,Sim,Não,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Não,-,Não,Sim,Sim,Não,Não,Não
2310852,CE,Pindoretama,24607,4 - 20001 até 50000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Sim,Não,Não,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Sim,Não,Sim,Sim,Sim,Sim
